ticker,name,sector,ipo,delisted,first_data,last_data,bh_cagr_since_ipo,bh_vol,bh_sharpe,bh_max_dd,corr_qqq,ret_1y,ret_3y,ret_5y,ret_10y,overlay_cagr_zero,overlay_sharpe_zero,overlay_max_dd_zero,overlay_cagr_base,overlay_sharpe_base,overlay_max_dd_base,timing_adds_value_after_costs
CDNS,Cadence Design Systems,eda,1990-01-02,,1998-01-02,2026-07-31,0.09576596008380767,0.43456973305562935,0.4325393888105095,-0.9313157894736841,0.5480088999012038,-0.08357814731962376,0.13271577830417614,0.1847504124402004,0.29396102526919043,0.09335033211027399,0.4697751417025313,-0.5376268206510038,0.08307072530975246,0.43398277844689015,-0.5456293811856906,True
MSFT,Microsoft,software,1990-01-02,,1998-01-02,2026-07-31,0.143872781928984,0.3083443998503833,0.5906448913684851,-0.6944475282426432,0.7204161921995111,-0.087268343856988,0.12091038367639317,0.1082525756901227,0.25142293041845143,0.10335057189314223,0.5712287131369723,-0.5254877761461916,0.09348279126957726,0.5284983570281576,-0.560581411204181,False
GOOGL,Alphabet,internet,2004-08-19,,2004-08-19,2026-07-31,0.2536975190768911,0.3074649112985259,0.8895164847230619,-0.6529475997216991,0.6974465524775081,0.8172736396163305,0.4060120347967706,0.21986802793043725,0.25282018569733977,0.17243823541603076,0.8124857650103411,-0.3667169287988843,0.1632984993937734,0.7774423753297011,-0.3745571838729864,False
AMZN,Amazon,internet,1997-05-15,,1998-01-02,2026-07-31,0.2776244109449868,0.5373599903162517,0.7208050036230479,-0.9440487347703843,0.5782270320511207,0.17980798470828518,0.2844771745338337,0.0823534724111552,0.21986112511821676,0.1395095676358138,0.5403114849664156,-0.8546593660815588,0.12962726132810554,0.51601378027477,-0.8592210316893955,False
META,Meta Platforms,internet,2012-05-18,,2012-05-18,2026-07-31,0.20842583924855673,0.39877067472492617,0.6750609524001123,-0.7673609294050916,0.6081803431229568,-0.19664015748077335,0.23436291865399617,0.08713610928721138,0.16627010920789642,0.1947266223226487,0.7665955172470164,-0.41040850535056184,0.1875755635313343,0.7449242486058957,-0.4201954012701633,True
AAPL,Apple,hardware,1990-01-02,,1998-01-02,2026-07-31,0.31580009660259,0.40074072163577784,0.8930649518491565,-0.8180178930902158,0.6406639605481715,0.48357284174889203,0.17212105376442088,0.1635887094436519,0.29869451040496275,0.3077838690581176,1.0475669128585878,-0.45928959018925275,0.30331705199141346,1.0358625737636526,-0.462260222922697,True
TSLA,Tesla,ai_consumer,2010-06-29,,2010-06-29,2026-07-31,0.38812163077096984,0.5743657966598797,0.8578205717858047,-0.7363221699148715,0.5198679471558274,-0.02454237713139451,0.05590474849561078,0.07731187839295428,0.3569805439012106,0.1966559513668631,0.6226016545944879,-0.6963809448747116,0.18056272168694587,0.5924830699615928,-0.7184579331522845,False
ORCL,Oracle,software,1990-01-02,,1998-01-02,2026-07-31,0.14041097145402426,0.4156817802162693,0.5220190425328167,-0.8419302601757807,0.6464366383461044,-0.4758393879384345,0.05228213815359384,0.0964419179454794,0.1388630442387584,0.09171568414377784,0.4435070655236453,-0.5999473111479603,0.08022374479574479,0.40746760653475733,-0.603450270024831,False
IBM,IBM,software,1990-01-02,,1998-01-02,2026-07-31,0.07903260035667836,0.27951649661569855,0.4132947721945282,-0.5937463531866891,0.5375394534906011,-0.11855987647218891,0.2044202953079668,0.15049359928640493,0.08290070349896306,0.011695939653488585,0.15837041578573244,-0.5965872249357307,0.0014203578585916254,0.10567768548208797,-0.65520707974766,False
NFLX,Netflix,internet,2002-05-23,,2002-05-23,2026-07-31,0.3027057593525826,0.5436437125592574,0.7617266522815538,-0.8199042613731463,0.4080795427890082,-0.3944435061644991,0.1926859398784051,0.06828068543966803,0.23626956392452247,0.35215581134093465,0.9573804993084313,-0.5032813082427188,0.34727539665791607,0.948132082007316,-0.5081827602302547,True
CRM,Salesforce,software,2004-06-23,,2004-06-23,2026-07-31,0.18621033986595004,0.4167850418646174,0.6182185015451057,-0.7049576783523082,0.6011465438356508,-0.29912663546358453,-0.060178249634643355,-0.054830797569571765,0.08647941181224605,0.13015344612175572,0.5568287347209546,-0.4400563093875728,0.12000518965616802,0.5265813415565571,-0.4704659987196943,False
ADBE,Adobe,software,1990-01-02,,1998-01-02,2026-07-31,0.14689365055456527,0.4285926117369696,0.5353157187753895,-0.7988779206256318,0.6547041639507832,-0.3120604395604394,-0.2134227850592434,-0.16740555944571478,0.10023258386668399,0.13560966718763168,0.5688423481440052,-0.5683024661914171,0.12543695501444696,0.5393317825143937,-0.5785393826303162,True
NOW,ServiceNow,software,2012-06-29,,2012-06-29,2026-07-31,0.24794797790635736,0.41944431702546714,0.7390393643187297,-0.6454173395193057,0.587757324439489,-0.43103695216270355,-0.012347158067715358,-0.010462655151825095,0.22846499533764897,0.14942354340888753,0.6201696753881036,-0.4488253604860233,0.13799146915287608,0.5859571287376546,-0.4848251323211681,False
SNOW,Snowflake,software,2020-09-16,,2020-09-16,2026-07-31,0.02485890440073013,0.6228422173880243,0.34412414418925275,-0.7298763343203367,0.5209954239166519,0.33139640457599473,0.19934604891681307,0.020548245101497775,,-0.054681531654129034,0.011012919845064773,-0.6927471636411402,-0.0625072125934435,-0.012707529217518998,-0.7053979734062864,False
